Spanish,Polish
sentimiento,uczucie
pudieras,Mógłbyś
golpes,trafienia
nadar,pływać
operaciones,Operacje
admitir,przyznawać 
templo,świątynia
adios,do widzenia
maravilla,Wspaniale
quita,usunąć
mate,kumpel
piano,fortepian
bombas,Lakierki
paredes,ściany
pantalla,ekran
italia,Włochy
pusieron,Włożyli
sally,Wypad
amén,Amen
mac,Prochowiec
civil,cywilny
fantasmas,Duchy
gasolina,benzyna
sabia,wiedziałem
tyler,Tyler
judíos,Żydzi
s.,s.
tripulación,załoga
pagan,płacić
arrestado,aresztowany
extraños,nieznajomi
canta,śpiewa
texas,Teksas
estando,istnienie
flor,kwiat
ricky,Ricky
usan,posługiwać się
cruzar,Krzyż
esperemos,Miejmy nadzieję
guía,przewodnik
preocuparte,martwić się
enseñar,uczyć
irán,Iran
conferencia,konferencja
miro,patrzę
habitaciones,sypialnie
galletas,Biszkopty
hablarle,Porozmawiaj z nim
delito,przestępczość
atacar,atak
objeto,obiekt
disparos,strzały
museo,muzeum
ruedas,koło
recientemente,Niedawno
huevo,jajko
violación,naruszenie
regresó,Zwrócić
sufrir,cierpieć
tina,wanna
terminamos,skończone
disponible,do dyspozycji
rica,pyszne
habilidad,umiejętność
práctica,ćwiczyć
acabe,Skończyć
amado,kochany
haberle,mieć
volvemos,Wracamy
tendrías,Miałbyś
maestra,nauczyciel
city,Miasto
pastillas,tabletki
aprendí,Dowiedziałem się
cable,kabel
nacimiento,narodziny
consciente,świadomy
alcance,zakres
evento,wydarzenie
alquiler,wynajem
ordenador,komputer
incidente,incydent
huh,Huh
escribí,napisałem
estuvieron,Byli
intentaré,Postaram się
pensamiento,myśl
metió,położyć
maleta,torba
condado,Hrabstwo
piezas,sztuki
ladrones,włamywacze
metro,metr
kilos,Kilos
recuerde,Pamiętać
español,hiszpański
motivos,powody
explica,Wyjaśnić
renunciar,poddać się
actuación,wydajność
refugio,schron
harto,Rozdrażniony
reacción,reakcja
paliza,bicie
chef,Szef kuchni
ocurra,zdarzać się
marty,Marty
l,L
entrado,Wchodzić
quitar,budzić wstręt
amanecer,wschód słońca
molly,Pedał
corazones,kiery
rumores,Plotki
llames,Ty dzwonisz
celoso,zazdrosny
utilizar,posługiwać się
territorio,terytorium
olvide,zapomniałem
prácticamente,praktycznie
disfrutar,cieszyć się
intentaba,próbowałem
vecino,sąsiad
pública,publiczny
collar,naszyjnik
golf,Golf
betty,Betty
marco,struktura
cercano,Blisko
fondos,pieniądze
ross,Ross
bruce,Bruce
montar,uchwyt
salvado,uratowany
grados,stopni
dylan,Dylan
moto,motocykl
instrucciones,instrukcje
treinta,trzydzieści
gordon,Gordon
adonde,gdzie
hablarte,Rozmawiać z tobą
jesse,Jesse
emperador,cesarz
cigarrillo,papieros
cuéntame,Powiedz mi
do,robić
secreta,Sekret
haberse,mieć
hitler,Hitler
anne,Anne
mortal,śmiertelny
ronda,okrągły
cuídate,Dbaj o siebie
metal,metal
puro,czysty
cierre,zamknięcie
colores,zabarwienie
eva,Przeddzień
rusia,Rosja
botón,przycisk
hijas,córki
tenerlo,posiadać to
tono,ton
espía,szpieg
empleados,pracownicy
conduce,ona prowadzi
detalle,Szczegół
estuvieras,Ty byłeś
oliver,Oliver
rusos,Rosjanie
déjala,zostaw ją
crema,krem
roy,Roy
contesta,Odpowiedzi
casarte,wyjść za mąż
manda,Wysłać
dias,dni
prisioneros,Więźniowie
echado,kłamliwy
trajiste,Przyniosłeś
charlotte,Charlotte
flota,flota
marie,Marie
criminales,przestępcy
mmm,Hmm
platos,talerze
crímenes,przestępstwa
cometido,zadanie
golpear,bić
igualmente,ty też
dispararon,Strzelili
dejará,zostawi
tontos,Głupcy
sabría,wiedziałby
abran,otwarty
ayudante,asystent
cultura,kultura
revolución,rewolucja
hombro,ramię
botas,buty
adoro,lubię
olvidó,zapominam
biblia,Biblia
saludos,Twoje zdrowie
katie,Katie
deme,daj mi
adultos,Dorośli ludzie
sitios,strony
serpiente,wąż
parker,Parker
nathan,Nathan
romántico,Romantyczny
posiblemente,prawdopodobnie
adivinar,zgadywać
peores,Najgorszy
buscan,szukam
enfrente,z przodu
restos,pozostaje
capacidad,umiejętność
aliento,oddech
placa,tablica rejestracyjna
rata,szczur
áfrica,Afryka
entendí,zrozumiany
metas,cele
cuadro,rama
afortunado,Szczęściarz
puestos,Posty
japón,Japonia
división,podział
subtítulos,Podtytuł
entradas,bilety
bicicleta,rower
vuestras,twój
pesado,ciężki
sugiero,sugeruję
calla,Zamknij się
espacial,przestrzeń
st,St
ventanas,okna
mejorar,ulepszyć
concurso,Konkurs
comisaría,Posterunek policji
sincero,szczery
centavos,centy
naturalmente,naturalnie
deseas,chcesz
pasara,to się stanie
jay,Sójka
esperado,spodziewany
ocurrir,zdarzać się
pondrá,położy
recursos,oznacza
raza,Wyścig
muestras,próbki
personales,osobisty
wilson,Wilson
imaginación,wyobraźnia
volverás,wrócisz
ceremonia,ceremonia
almacén,magazyn
sabor,smak
sentarse,czuć
on,NA 
unión,Unia
frankie,Frankie
reserva,rezerwować
españa,Hiszpania
encanto,czar
aviones,samoloty
calidad,jakość
escondido,ukryty
citas,cytaty
aceite,olej
pusiste,Położyłeś
querrá,będzie chciał
punta,Wskazówka
cinturón,pas
podrán,będzie w stanie
cuales,który
chiste,żart
consecuencias,uderzenie
sinceramente,szczerze mówiąc
lewis,Chwytak
hablaste,Przemówiłeś
vaca,krowa
investigando,przeprowadzanie badań
vuelven,Wracają
chloe,Chloe
prisionero,więzień
investigar,Badania
apellido,nazwisko
actual,obecny
despertar,Obudź się
instante,natychmiastowy
vincent,Vincent
ud,Ty
morirá,umrze
sacaste,Wyjąłeś
justin,Justin
traiga,Przynieść
sentada,posiedzenie
mueva,ruszaj się
jordan,Jordania
terminé,skończyłem
emociones,emocje
dormitorio,sypialnia
pulso,puls
atreves,Odważyć się
frase,wyrażenie
partida,wyjazd
sabíamos,Wiedzieliśmy
parezco,wyglądam jak
excelencia,doskonałość
despedido,zwolniony z pracy
moral,morał
asalto,napaść
decente,przyzwoity
informes,Raporty
asusta,przeraża
trabajan,oni pracują
my,Mój
doug,Doug
poca,mały
pasaría,To by się stało
médica,Medyczny
combustible,gaz
discusión,dyskusja
verán,Zobaczysz
ciertas,PRAWDA
pata,łapa
jean,Drelich
antiguos,starożytny
requiere,wymaga
cogido,złapany
comunicación,Komunikacja
manzana,jabłko
sed,pragnienie
tio,wujek
joyas,klejnoty
cojones,kulki
noble,szlachetny
ee.uu.,USA.
trabajamos,pracujemy
pediste,Zapytałeś
encontrarla,Znajdź to
piedras,Kamienie
traidor,zdrajca
gané,wygrałem
letra,tekst piosenki
conseguimos,Dostajemy
vía,przez
sacerdote,kapłan
efectos,efekty
resistencia,wytrzymałość
arroz,Ryż
arreglado,naprawione
tarjetas,karty
descubrió,odkryty
desconocido,nieznany
mínimo,minimum
disparado,strzał
boston,Boston
entienden,oni rozumieją
bandera,flaga
llamarte,zadzwonię do ciebie
plaza,kwadrat
entrando,wstępowanie
tomará,to zajmie
visitas,Odwiedziny
cooper,Bednarz
demasiada,zbyt wiele
faltan,zaginiony
planeado,zaplanowany
imperio,imperium
esperaré,poczekam
enfadada,zły
levantar,Wstań
cartera,portmonetka
jeremy,Jeremy
importar,importować
depósito,Kaucja
colegas,koledzy
periodista,dziennikarz
comprobar,sprawdzać
funcione,funkcjonować
nina,mała dziewczynka
mereces,Zasługujesz
forense,kryminalistycznych
tensión,napięcie
involucrado,zaangażowany
vacía,pusty
abandonado,opuszczony
vídeo,wideo
ruso,Rosyjski
círculo,okrąg
judío,żydowski
cole,szkoła
gritos,Krzyki
carol,kolęda
empecemos,Zacznijmy
resultó,okazało się
campos,Pola
váyanse,Iść
escribiendo,pismo
divertida,zabawa
pasen,podawać
pinta,Pinta
supo,wiedział
ascensor,winda
quedarnos,zostawać
matará,zabije
aparecer,Pojawić się
helicóptero,śmigłowiec
actuando,gra aktorska
ooh,ooh
pasas,rodzynki
apúrate,Pośpiesz się
big,Duża
entregar,dostarczyć
escape,wydechowy
indios,Hindusi
limpieza,czyszczenie
rebecca,Rebecca
querrás,będziesz chciał
hueso,kość
jessica,Jessica
magnífico,wspaniały
trabajadores,pracownicy
caída,upuszczać
temperatura,temperatura
habia,byli
dejaría,Odszedłbym
encontrará,znajdzie
ejercicio,ćwiczenie
lealtad,lojalność
alas,w
pasaron,Oni zdali
invitación,zaproszenie
diamantes,Diamenty
unidades,jednostki
miller,Młynarz
enojada,zirytowany
decimos,Mówimy
leyenda,legenda
gilipollas,dupek
tomaste,pijesz herbatę
paraíso,raj
gatos,Koty
costumbre,zwyczaj
podria,mógłby
cabaña,kabina
secretaria,Sekretarz
lentamente,powoli
ensayo,test
pagó,Zapłata
familiares,rodzina
gimnasio,siłownia
negativo,negatywny
lenguaje,język
pájaros,Ptaki
presenta,przedstawia
quedes,pozostać
garaje,garaż
palo,stick
león,Lew
oídos,uszy
dick,Kutas
espaldas,obrona
apuestas,Zakłady
científico,naukowy
incluyendo,włącznie z
pelotas,kulki
actividad,ćwiczenie
dragón,smok
necesite,potrzebować
intentamos,Próbujemy
aguantar,wytrzymać
davis,Davis
primeras,pierwszy
generación,Pokolenie
sexuales,seksualny
apetece,Chcesz
grupos,grupy
capital,kapitał
dejemos,Wyjdźmy
habrías,Zrobiłbyś
máquinas,Maszyny
barato,tani
monsieur,Lord
sistemas,systemy
fingir,udawać
pensarlo,Pomyśl o tym
miércoles,Środa
escritor,pisarz
solitario,samotny
recibo,paragon fiskalny
conocerlo,znać go
pudimos,moglibyśmy
convertirse,stać się
almas,dusze
salto,skok
sonar,Śnić
publicidad,reklama
russell,Russell
temporal,tymczasowy
antecedentes,tło
probado,wypróbowany
todd,Todd
kenny,Kenny
llamaron,Oni dzwonili
atractivo,atrakcyjny
váyase,Idź stąd
barra,bar
aniversario,rocznica
intereses,zainteresowania
madres,Matki
deba,Deba
imagina,Wyobrażać sobie
niñera,siostrzyczka
movimientos,Ruchy
quince,piętnaście
holmes,Holmes
muro,Ściana
recibe,otrzymuje
luce,Luce
nací,urodziłem się
prima,kuzyn
cubierto,pokryty
contando,rachunkowość
reír,śmiać się
producto,produkt
daños,szkoda
abrazo,uścisk
gafas,okulary
arreglarlo,napraw to
sobrino,siostrzeniec
man,facet
demanda,żądanie
elecciones,wybory
construcción,budynek
ayudaré,Pomogę
buscado,poszukiwany
criaturas,stworzenia
dejarla,zostaw to
internacional,międzynarodowy
perfil,profil
trozo,kawałek
actriz,aktorka
repito,Powtarzam
bendiga,Błogosławić
pistas,utwory
whoa,Whoa
vecindario,sąsiedztwo
hannah,Hanna
marcus,Marcus
ataques,Ataki
razonable,rozsądny
vende,Sprzedać
gerente,menedżer
sensible,wrażliwy
ríe,śmiać się
izquierdo,lewy
personalidad,osobowość
camina,Spcerować
traes,Przynosisz
tuvieras,Miałeś
albert,Albert
conté,policzyłem
preparando,przygotowanie
secretario,sekretarz
rueda,koło
sorprendido,Zaskoczony
profundamente,głęboko
conoció,ona poznała
grano,ziarno
pagaré,zapłacę
límites,Granic
moneda,waluta
super,super
piedad,pobożność
militares,wojskowy
seguía,Trwał
tocado,wzruszony
ciudadanos,Obywatele
creado,Utworzony
temas,tematy
acepta,akceptujesz
encerrado,zablokowany
opinas,Myślisz
empiezo,początek
borde,Brzeg
llevarla,trzymaj to
barcos,łodzie
toby,Toby
pudieron,mógłby
tocando,wzruszające
harvey,Harvey
profesora,nauczyciel
dejame,pozwól mi
expresión,wyrażenie
asesinada,zamordowany
escándalo,skandal
nervios,nerwowość
ios,iOS
randy,Krzykliwy
emoción,emocja
blake,Blake
catherine,Catherine
oficialmente,oficjalnie
perdedor,przegrany
margaret,Małgorzata
sienten,Oni czują
rumbo,kurs
valle,Dolina
ian,Ian
x,x
viejas,stary
buscaba,szukałem
científicos,naukowcy
gorda,gruba kobieta
juventud,młodzież
hayamos,mamy
preocupación,sprawa
desnudo,nagi
guión,scenariusz
grant,Dotacja
envié,wysłałem
señoritas,Damski
carreras,kariera
tratas,Traktujesz
sucia,brudny
sophie,Zofia
ratas,szczury
mayo,Może
tirado,rzucony
heroína,heroina
háblame,powiedz mi
contestar,odpowiadać
caos,chaos
alternativa,alternatywny
estupidez,głupota
derek,Derek
sorprendente,zdumiewający
pedirte,Zapytaj o ciebie
principios,początek
egoísta,samolubny
mostraré,ja pokażę
sentarme,Usiądź
verdaderamente,naprawdę
enhorabuena,Gratulacje
casey,Casey
peligrosa,niebezpieczny
ánimo,Rozchmurz się
viajes,wycieczki
lujo,luksus
mia,moje
cantando,śpiewanie
religión,religia
nate,Nate
risas,śmiech
despejado,jasne
miserable,nieszczęśliwy
hierro,żelazo
corona,korona
wayne,Wayne
serías,Byłbyś
dispositivo,urządzenie
mencionar,wspomnieć
brad,Ćwiek
mencionó,wspomniany
inmunidad,odporność
grabación,nagranie
producción,produkcja
nuclear,jądrowy
clima,klimat
puesta,położyć
buscarlo,Szukaj tego
carácter,postać
prostituta,prostytutka
llamarlo,zawołaj go
steven,Steven
máscara,maska
alegre,wesoły
comprender,Rozumiesz
volviste,Wróciłeś
cambiando,Wymiana pieniędzy
alianza,Sojusz
encontrarás,znajdziesz
positivo,pozytywny
siglos,wieki
serían,zrobiłbym
desafortunadamente,niestety
guitarra,gitara
hacían,Oni zrobili
estrategia,strategia
entré,Wejdź
vinimos,Przyszliśmy
frecuencia,częstotliwość
poli,policjant
that,że
elena,Elena
discúlpame,Wybacz mi
llevé,niosłem
vince,Vince
prohibido,zabroniony
caray,Wow
arruinar,zepsuć
masa,ciasto
existencia,istnienie
túnel,tunel
bromas,Żarby
evitarlo,Unikaj tego
industria,przemysł
trasera,tył
monstruos,Potwory
mete,położyć
conseguiré,wezmę
inocentes,niewinny
colección,kolekcja
empleado,pracownik
fatal,fatalny
stephen,Stephen
olivia,Olivia
intente,Próbować
expediente,obrady
nancy,Nancy
putas,dziwki
jess,Pęto
petición,Petycja
ayudado,pomógł
lou,Lou
presentación,prezentacja
beth,Beth
vendido,wyprzedane
cerebral,mózgowy
coraje,odwaga
adulto,dorosły
rubia,blond
mandar,wysłać
pierdes,Przegrałeś
gano,wygrał
almorzar,obiad
caridad,jałmużna
oscar,Oscar
sepan,Wiedzieć
llegada,przyjazd
capítulo,rozdział
disculparme,przepraszać
viniera,przyszło
gastos,rachunki
sentirse,czuć
entren,wejść
quédese,Zostawać
tarta,ciasto
volvería,Wrócę
jersey,sweter
mataría,Zabiłbym
breve,krótki
obras,sztuki
acero,stal
llévame,podwieź mnie
street,Ulica
suceda,zdarzyć
cigarrillos,papierosy
funcionará,to będzie działać
alicia,Alicia
haberla,mieć
camarada,towarzysz
confesión,wyznanie
dijimos,powiedzieliśmy
coartada,alibi
desnuda,nagi
payaso,błazen
rayo,promień
guay,Guay
naves,statki
americana,amerykański
político,polityczny
diseño,projekt
condenado,skazany
convencido,przekonany
edward,Edward
policia,Policja
italiano,Włoski
pedro,Pedro
mm,mm
camiseta,Podkoszulek
vendrán,Oni przyjdą
extrañas,zagraniczny
impacto,uderzenie
equipaje,Bagaż
lois,Lois
sufrimiento,cierpienie
salieron,Wyszli
mantente,Zostawać
sabiendo,porozumiewawczy
maten,zabić
adolescente,Nastolatek
soltero,pojedynczy
descubrí,Odkryłam
tranquilos,cichy
influencia,wpływ
oxígeno,tlen
experimento,eksperyment
absurdo,absurdalny
algun,niektóre
habrían,mieliby
ponerle,położyć
empiece,Początek
devolver,zwrócić
propuesta,wniosek
tómalo,Weź to
michelle,Michelle
abrió,Otwierany
plantas,Podłogi
cantante,piosenkarz
traición,zdrada
cementerio,cmentarz
florida,Floryda
pozo,dobrze
patrulla,patrol
brandon,Brandon
planeando,planowanie
ann,Ann
tragedia,tragedia
ethan,Ethan
miami,Miami
autoridades,władze
trate,Leczyć
procedimiento,proces
fantasía,wymyślny
billetes,Bilety
ganamos,wygraliśmy
secuestro,porwanie
sabrás,Będziesz wiedział
prestado,pożyczone
bodas,ślub
béisbol,baseball
ciudades,miasta
conejo,Królik
pregúntale,Zapytaj ją
billete,bilet
esperanzas,nadzieje
díselo,Powiedz jej
significado,oznaczający
mueren,Oni umierają
shawn,Shawn
cincuenta,pięćdziesiąt
jugadores,gracze
web,Sieć
apropiado,właściwy
robot,robot
considerado,uważane
alcanzar,osiągać
patatas,ziemniaki
mantenga,nadążać
continuación,kontynuacja
tradición,tradycja
países,kraje
ocultar,przebranie
tendríamos,Mielibyśmy
electricidad,Elektryczność
bebidas,napoje
siguió,On kontynuował
reto,wyzwanie
aldea,wieś
robaron,Ukradli
aguas,Fale
caminos,drogi
ellen,Ellen
permitido,dozwolony
alli,tam
cima,Top
éi,éi
risa,śmiech
cumplido,komplement
objetos,obiekty
decide,Zdecydować
pregunte,pytałem o
once,jedenaście
matan,Oni zabijają
terrorista,terrorysta
tomes,Brać
términos,semestry
reyes,Królowie
revés,odwrócić
explotar,cios
maletas,Bagaż
nubes,chmury
circo,cyrk
darse,dawać
west,Zachód
prometiste,Obiecałeś
tanque,czołg
uñas,gwóźdź
encargaré,Zlecę
terroristas,Terroryści
estúpidos,głupi
héroes,bohaterowie
salta,Salta
daremos,Damy
agradecido,wdzięczny
victor,Zwycięzca
terror,terror
keith,Keith
sacrificio,poświęcenie
destrucción,zniszczenie
teddy,Miś
texto,tekst
peleas,walki
liga,liga
martha,Martha
ana,Ana
enviaré,wyślę
teléfonos,telefony
porno,bo nie
diera,dawać
oscura,Ciemny
tuyos,Twój
olvido,zapomniałem
queridos,Drogi
colina,wzgórze
bromeas,ŻART
sano,zdrowy
únicos,unikalny
musical,musical
pastor,Pasterz
ponerlo,Umieść to
naranja,Pomarańczowy
batería,bębny
trabajó,praca
reuniones,Spotkania
sue,Pozwać
figura,postać
jesucristo,Jezus Chrystus
funcionan,czy oni pracują
voces,głosy
caroline,Karolina
jacob,Jakub
caramba,Caramba
callejón,aleja
técnica,technika
marshall,Marshall
refería,Odniósł się
notado,Odnotowany
maquillaje,makijaż
lanzar,rzucić
cadáveres,zwłoki
atacó,zaatakowany
vendiendo,sprzedawanie
bailando,taniec
tenerte,mieć Ciebie
cubrir,pokrywa
liz,Liz
policial,Policja
fase,faza
gus,Gus
joseph,Joseph
importaba,importowany
armada,marynarka wojenna
fea,brzydki
porquería,brud
mickey,Mickey
superar,przeżyć
disfruta,smacznego
sueldo,pensja
abiertos,otwarty
piénsalo,Pomyśl o tym
testimonio,świadectwo
incómodo,niewygodny
oyó,albo ja
costado,Stoisko z boku
apaga,wyłącza
considerando,rozważając
bolsas,Torebki
seguiré,będę kontynuował
imaginé,wyobraziłem sobie
detenerlo,przestań
diana,Diana
pasaporte,paszport
infancia,dzieciństwo
suele,zwykle
productos,produkty
rocas,Skały
reverendo,czcigodny
mediodía,południe
golpeado,bity
destruido,zniszczony
reconozco,Rozpoznaję
plástico,Plastikowy
young,Młody
barba,broda
mago,Czarodziej
hojas,pościel
conocerla,znam ją
hallar,odnaleźć
mantequilla,Masło
lidiar,radzić sobie
sentencia,osąd
ideal,ideał
dámelo,daj mi to
mandó,wysyłam
residencia,Dom
francamente,szczerze mówiąc
guerrero,Wojownik
ayudo,pomógł
sigamos,idźmy dalej
jennifer,Jennifer
engañar,oszustwo
baje,Niżej
contaré,Będę liczyć
guantes,rękawice
rompe,Przerwanie
conociste,spotkałeś
hoja,arkusz
decían,Mówili
recepción,Przyjęcie
logrado,znakomity
odias,nienawidzisz
comisión,zamawiać
vampiro,wampir
finales,Egzaminy końcowe
sufrido,cierpiał
azules,Niebieski
usarlo,Użyj tego
cometer,popełniać
descansa,reszta
peleando,walczący
docena,tuzin
estaríamos,Bylibyśmy
sera,To będzie
lanza,włócznia
averiguarlo,Dowiadywać się
lanzamiento,początek
moverse,ruszaj się
ho,Ho
falla,awaria
angela,Angela
técnicamente,technicznie
dejara,zostawi
medias,pończochy
míralo,Patrzeć
físico,fizyczny
hacerla,robić
multitud,załoga
potencial,potencjał
hacías,Zrobiłeś
famosa,słynny
rutina,rutyna
oportunidades,możliwości
progreso,postęp
fascinante,fascynujący
ensalada,Sałatka
cómoda,wygodna
prepara,przygotować
tráeme,przynieś mi
equivocas,zło
tubo,rura
owen,piekarnik
sacarlo,usunąć to
is,es
usas,Używasz
letras,listy
dennis,Dennis
demasiados,za dużo
éstas,te
interrumpir,przerwać
representa,Reprezentuje
socios,wzmacniacz
pecados,grzechy
novela,powieść
herramientas,narzędzia
desaparece,znika
apostar,Zakład
ó,zarówno
septiembre,Wrzesień
vestidos,sukienki
festival,festiwal
franceses,Francuski
queria,poszukiwany
gustar,tak jak
auxilio,Wsparcie
éstos,te
fracaso,awaria
berlín,Berlin
cañón,Kanion
llegaremos,przyjedziemy
empezaron,Zaczęli
spencer,Spencer
fíjate,zauważyć
votar,głosować
merezco,zasługuję
infantil,dziecinny
estacionamiento,parking
asesina,morderczyni
sentarte,siedzieć
mintió,Skłamał
grita,krzyki
ofrecer,zaoferować
ruth,Litość
esclavos,niewolnicy
academia,akademia
probarlo,Spróbuj
viuda,wdowa
reporte,raport
monedas,Monety
rob,Obrabować
advertencia,Zastrzeżenie
jugo,sok
malcolm,Malcolm
pico,szczyt
miré,Patrzeć
rota,złamany
sociales,społeczny
amarillo,żółty
encargado,kierownik
so,południowy zachód
listas,listy
as,as
poderosa,potężny
prometió,Obiecane
drama,dramat
confundido,zmieszany
olvídate,zapominać
normales,normalna
inconsciente,nieświadomy
asegurar,bezpieczne
estadounidense,amerykański
locales,lokalny
informado,powiadomiony
resuelto,rozwiązany
cueva,jaskinia
conduciendo,napędowy
perdidos,Zaginiony
escuchó,usłyszał
patético,żałosne
abril,kwiecień
matemáticas,matematyka
eliminar,usunąć
venid,chodź
hicieras,Zrobiłeś
causar,przyczyna
demasiadas,za dużo
vigilando,oglądanie
función,funkcjonować
solar,słoneczny
encontrarme,Znajdź mnie
williams,Williams
dólar,dolar
trucos,wydziwianie
h,h
lectura,czytanie
camarero,kelner
toman,biorą
regresaré,wrócę
tiendas,sklepy
encontremos,znajdźmy
dimos,Daliśmy
cabina,kabina
deporte,sport
virginia,Virginia
fuga,odpływ
holly,Ostrokrzew
sospechosos,podejrzany
jonathan,Jonathan
ala,do
champán,szampan
quedaba,To było
viera,Widzieć
formar,kształtować
walker,Piechur
detectives,detektywi
entenderlo,Zrozum to
orejas,uszy
obligado,zobowiązany
testamento,będzie
extremadamente,niezwykle
creyó,Wierzył
darán,Dadzą
materia,materiał
detuvo,zatrzymany
casco,kask
sabremos,Będziemy wiedzieć
agenda,Dziennik
rosas,Rosas
aceptado,przyjęty
bello,piękny
fabuloso,wspaniały
llores,płakać
arruinado,rozpieszczony
enterado,świadomy
junio,Czerwiec
baila,Taniec
artistas,Artyści
realizar,realizować
hechizo,zaklęcie
respiración,oddechowy
extremo,skrajny
historial,nagrywać
pongan,Położyć
yeah,Tak
próximos,następny
extraordinario,nadzwyczajny
tigre,Tygrys
fianza,kaucja
consejos,porady
mostrarte,pokażę ci
doctores,Lekarze
auténtico,autentyczny
usamos,Używamy
romance,Romans
miente,kłamstwa
matthew,Mateusz
importan,Import
paren,Paren
indio,indyjski
increíblemente,niewiarygodnie
pierdo,przegrałem
llevaremos,Będziemy nosić
ví,widział
ofrece,oferuje
seco,suchy
willie,Willie
quinn,Quinn
sagrado,poświęcony
monte,Góra
paris,Paryż
discos,dyski
louise,Louise
carrie,Carrie
juguetes,zabawki
cerdos,wieprzowy
enteré,Dowiedziałem się
escapado,uciekłem
matarla,Zabij ją
casó,walizka
ali,Ali
salgas,Ty wyjdź
pasajeros,pasażerowie
debilidad,słabość
civiles,cywile
corbata,krawat
dispuesta,Ułożony
necesitaré,będę potrzebował
cuartel,koszary
cazar,polowanie
robando,kradzież
convencer,przekonać
rollo,rolka
pescar,łowić ryby
mezcla,mieszanina
parejas,Pary
condicional,warunkowy
giro,skręcać
bonitas,Miły
necesites,Potrzebujesz
molestar,niepokoić
amantes,zakochani
gris,Szary
zoe,Zoe
pedimos,Pytamy
refuerzos,wzmocnienie
josé,Joseph
colgar,powiesić
heridos,ranny
arreglo,układ
plazo,termin
harold,Harold
salvajes,dziki
elliot,Elliot
fotografías,Fotografie
sintió,On czuł
hermosas,piękny
ashley,Ashley
convertir,konwertować
contarle,Powiedz mu
retiro,wycofanie
francis,Francis
gravedad,powaga
importe,ilość
lata,Móc
enseñaré,będę uczyć
velas,świece
suyos,jego
símbolo,symbol
reconocimiento,uznanie
típico,typowy
ayudas,Pomoc
regresado,zwrócony
conducta,przeprowadzić
lane,uliczka
ken,Rozpoznać
am,JESTEM
participar,wziąć udział
lana,wełna
shane,Shane
hacernos,zmuś nas
tratan,Traktują
vendedor,sprzedawca
federales,Federalny
pudiéramos,Moglibyśmy
diane,Diane
estrés,stres
césar,przerwać
soltera,pojedynczy
gustará,polubi
em,Em
brujas,Brugy
horario,harmonogram
recuerden,Pamiętać
identificar,do identyfikacji
hill,WZGÓRZE
alfombra,dywan
perdóneme,wybaczcie mi
actores,aktorzy
atractiva,atrakcyjny
permítame,pozwól mi
desperté,obudziłem się
salía,Wyszło
recibiendo,otrzymujący
preciso,dokładny
comprendes,Rozumiesz
white,Biały
altos,Wysoki
fan,miłośnik
papas,ziemniaki
anciano,starzec
profunda,głęboko
petróleo,Ropa naftowa
intenciones,intencje
francesa,Francuski
neil,Neil
jin,Jin
rango,zasięg
sombras,odcienie
malvado,zło
defender,bronić
lleguemos,Zdobądźmy
suba,Suba
jaula,klatka szybowa
watson,Watson
natalie,Natalie
comentarios,uwagi
dosis,dawka
cartel,podpisać
disparen,strzelać
esperad,czekać
cargar,mieć przy sobie
enviaron,Wysłali
jodida,pierdolony
seguí,kontynuowałem
aproximadamente,o
postre,deser
escala,skala
estudiando,uczenie się
pavo,indyk
origen,źródło
considerar,rozważać
fiel,wierny
diego,Diego
embajador,ambasador
tatuaje,tatuaż
población,populacja
harris,Harris
comes,jesz
llamen,połączenie
horribles,okropny
vampiros,Wampiry
dormida,we śnie
niveles,poziomy
largas,długie
pandilla,banda
agrada,Agrada
traigan,przynieść
onda,wibracja
atrapados,złapany
duque,książę
bajas,niski
dejaremos,Wyjdziemy
b.,b.
trono,tron
canto,śpiewanie
aumento,zwiększać
esconder,ukryć
políticos,Politycy
muertes,zgony
anthony,Anthony
pensabas,Myślałeś
saqué,Wyjąłem
taller,warsztat
fantástica,Fantastyczny
practicar,ćwiczyć
asientos,osadzenie
armado,uzbrojony
gibbs,Gibbs
habrán,tam będzie
considera,rozważa
atender,brać udział w
ponemos,My położyliśmy
we,My
consigues,Dostajesz
sentados,posiedzenie
costó,koszt
soñando,dzwonienie
stanley,Stanley
creó,Myślę
ayúdenme,Pomóż mi
juzgado,Sąd
hablarme,Mów do mnie
janet,Janet
bebido,pijany
pierdas,Przegrałeś
ponlo,Umieść to
gallina,kurczak
miguel,Michał
octubre,październik
sentirme,czuć
riesgos,ryzyko
dificil,ciężko
besar,pocałunek
lavar,myć się
sacarte,rozumiem cię
cuyo,którego
cayendo,spadanie w dół
emocional,emocjonalny
prometida,narzeczona
molestia,kłopot
christine,Christine
consiga,Dostawać
huella,odcisk palca
agarra,chwyta
karl,Karl
condena,wyrok
decírmelo,Powiedz mi
cafetería,Stołówka
honesta,uczciwy
tómate,pomidory
pablo,Paweł
medidas,środki
ofreció,oferowany
dió,dało
quizas,być może
celosa,zazdrosny
instinto,instynkt
bancos,banki
mías,moje
emocionado,podekscytowany
juguete,zabawka
villa,miasto
conocida,znany
servirá,będzie służyć
norman,Norman
centavo,grosz
lincoln,Lincoln
connor,Connor
potencia,moc
unido,Zjednoczony
julian,juliański
copias,słyszysz mnie
receta,recepta
interesada,zainteresowany
seguirá,pójdzie za nim
oírme,Usłysz mnie
normas,zasady
