Unnamed: 0,Spanish,Polish
2462,nerviosa,nerwowy
2463,vueltas,rundy
2464,encontrarlo,Znajdź go
2465,autos,samochody
2466,alice,Alice
2467,preguntarle,Zapytaj go
2468,lucy,Lucy
2469,abrigo,płaszcz
2470,okay,OK
2471,estudiar,uczyć się
2472,b,b
2473,sonrisa,uśmiech
2474,cobarde,tchórz
2475,olvida,Zapominać
2476,secundaria,wtórny
2477,descubierto,odkryty
2478,convirtió,Przekształcony
2479,coches,samochody
2480,venía,przyszło
2481,josh,Josh
2482,charla,czat
2483,vives,żyjesz
2484,bruja,czarownica
2485,c,c
2486,celular,komórka
2487,rose,Róża
2488,rompió,zepsuł się
2489,andando,pieszy
2490,vean,Widzieć
2491,conseguiste,Masz
2492,susan,Susan
2493,veinte,20
2494,encargo,opłata
2495,matarte,zabić cię
2496,palacio,pałac
2497,convierte,Konwertować
2498,ja,ha
2499,vivos,żywy
2500,pasamos,"zdaliśmy, minęliśmy"
2501,firme,podpisać
2502,daría,dałby
2503,piense,Myśleć
2504,oigo,słyszę
2505,phil,Phil
2506,sorprende,niespodzianka
2507,alemanes,Niemcy
2508,milagro,cud
2509,soportar,znosić
2510,dejaron,Wyszli
2511,smith,Kowal
2512,disculpen,wybaczcie mi
2513,moda,moda
2514,despacho,gabinet
2515,vecinos,sąsiedzi
2516,vaso,szkło
2517,dejarte,Zostaw cię
2518,explosión,pękać
2519,poderes,uprawnienie
2520,regla,reguła
2521,acaban,oni skończyli
2522,copia,Kopiuj
2523,siguiendo,Następny
2524,viajar,podróżować
2525,cadena,strunowy
2526,fábrica,fabryka
2527,mantiene,utrzymuje
2528,meter,położyć
2529,contenta,szczęśliwy
2530,comiendo,jedzenie
2531,educación,Edukacja
2532,maneras,sposoby
2533,fumar,palić
2534,encantador,uroczy
2535,cuantos,wiele
2536,homicidio,zabójstwo
2537,madera,drewno
2538,mayores,większy
2539,grado,stopień
2540,tratamiento,leczenie
2541,blancos,Biały
2542,lord,Lord
2543,anterior,poprzedni
2544,comisario,komisarz
2545,pizza,Pizza
2546,millas,Mile
2547,tira,rozebrać się
2548,fueran,Byli
2549,cumplir,zastosować się
2550,plata,srebro
2551,quedará,Pozostanie
2552,quedaré,zostanę
2553,aléjate,uciec
2554,decidir,zdecydować
2555,lío,bałagan
2556,preguntó,pytam
2557,agencia,agencja
2558,humanidad,ludzkość
2559,usado,używany
2560,guardias,gwardia
2561,parada,Zatrzymaj się
2562,leyes,Prawa
2563,funcionó,zadziałało
2564,odia,nienawidzi
2565,levanta,Podnieść
2566,mires,wyglądać
2567,respira,Oddychać
2568,escaleras,drabiny
2569,decisiones,decyzje
2570,queréis,Chcesz
2571,salvaje,dziki
2572,preguntando,pytając
2573,pasos,Kroki
2574,ambulancia,karetka
2575,traducción,tłumaczenie
2576,trabajado,Oszał
2577,básicamente,zasadniczo
2578,tratado,traktat
2579,parado,zatrzymany
2580,especiales,specjalny
2581,mentiroso,kłamca
2582,libres,darmowy
2583,servicios,usługi
2584,pedirle,Poproś o niego
2585,vivía,ona żyła
2586,medios,głoska bezdźwięczna
2587,compra,zakup
2588,conocimiento,wiedza
2589,armario,szafa
2590,lobo,Wilk
2591,quedamos,zostajemy
2592,ciertamente,z pewnością
2593,permitir,umożliwić
2594,tráfico,ruch drogowy
2595,uniforme,mundur
2596,estuvimos,Byliśmy
2597,alemania,Niemcy
2598,suave,gładki
2599,propias,własny
2600,balas,kule
2601,asqueroso,paskudny
2602,ciento,sto
2603,invierno,zima
2604,consigo,z nim
2605,encuentre,Odnaleźć
2606,jenny,Przędzarka
2607,conductor,kierowca
2608,equipos,ekwipunek
2609,arena,piasek
2610,park,Park
2611,licencia,licencja
2612,tíos,wujkowie
2613,jackson,Jackson
2614,dijera,Mówić
2615,espejo,lustro
2616,marina,Morski
2617,matando,zabicie
2618,seres,Istoty
2619,fiestas,imprezy
2620,mover,ruszaj się
2621,coincidencia,zbieg okoliczności
2622,análisis,analiza
2623,llegando,przyjazd
2624,azúcar,cukier
2625,tim,Tim
2626,casar,ożenić
2627,sótano,piwnica
2628,volvamos,wracajmy
2629,sabrá,będzie wiedział
2630,taylor,Taylor
2631,ocasión,szansa
2632,cheque,sprawdzać
2633,revisar,sprawdzać
2634,ponerme,Postaw siebie
2635,suceder,zdarzyć
2636,acusado,oskarżony
2637,dímelo,powiedz mi
2638,quedé,zostałem
2639,conciencia,świadomość
2640,doc,Doc
2641,pesadilla,koszmar
2642,sopa,zupa
2643,saltar,pomijać
2644,heridas,rany
2645,pienses,myśleć
2646,suicidio,samobójstwo
2647,llamarme,Zadzwoń
2648,posibilidades,szanse
2649,elegido,Wybraniec
2650,divorcio,rozwód
2651,registros,Dokumentacja
2652,recibí,otrzymałem
2653,joey,Joey
2654,escuchas,Ty słuchasz
2655,mirad,Ujrzeć
2656,pierde,Misses
2657,abogados,Prawnicy
2658,trataba,traktowałem
2659,americanos,Amerykanie
2660,llevando,ma na sobie
2661,miel,miód
2662,regrese,wróciłem
2663,dilo,Powiedz to
2664,hermanas,siostry
2665,alemán,Niemiecki
2666,iría,poszedł
2667,lady,Dama
2668,salí,wyszedłem
2669,particular,konkretny
2670,miras,wyglądasz
2671,frontera,granica
2672,ventaja,korzyść
2673,alerta,alarm
2674,piscina,basen
2675,regalos,Prezenty
2676,comportamiento,zachowanie
2677,julia,Julia
2678,señales,sygnały
2679,salimos,Wyszliśmy
2680,revista,czasopismo
2681,hecha,zrobiony
2682,imágenes,obrazy
2683,llegas,przybywasz
2684,rápida,szybki
2685,canal,kanał
2686,paciencia,cierpliwość
2687,sacado,wyjęty
2688,echo,wyrzucił
2689,crisis,kryzys
2690,asesinos,mordercy
2691,oíste,słyszałeś
2692,dejando,Odjazd
2693,estarías,Byłbyś
2694,anteriormente,poprzednio
2695,vigilancia,nadzór
2696,desierto,pustynia
2697,asustada,przestraszony
2698,cuerda,strunowy
2699,míos,moje
2700,chuck,Gdakanie
2701,seguido,Następny
2702,seremos,Będziemy
2703,morgan,Morgan
2704,pene,penis
2705,despierto,obudzić
2706,gobernador,gubernator
2707,sección,Sekcja
2708,casarme,wyjść za mąż
2709,trabajos,Oferty pracy
2710,karen,Karen
2711,preparados,przygotowany
2712,murieron,Umarli
2713,oso,niedźwiedź
2714,curiosidad,ciekawość
2715,vd.,ty.
2716,hank,Motek
2717,impresión,Wydrukować
2718,pez,ryba
2719,pasaba,przeszedł
2720,escuchaste,słuchałeś
2721,torre,wieża
2722,sientas,Czujesz
2723,mentir,kłamać
2724,pasillo,korytarz
2725,juega,bawić się
2726,suéltame,Puścić
2727,arresto,aresztować
2728,ricos,bogaty
2729,sencillo,łatwo
2730,ruta,trasa
2731,documentos,Dokumenty
2732,enamorada,zakochany
2733,apuesta,Zakład
2734,perdida,strata
2735,vinieron,Oni przyszli
2736,ayudarnos,Pomóż nam
2737,presento,Prezentuje
2738,hazme,Zmuś mnie
2739,leí,czytam
2740,arthur,Arthur
2741,virus,wirus
2742,lárgate,Wyjść
2743,sigan,Podążać
2744,compró,ja kupuję
2745,servir,obsługiwać
2746,pongas,Położyć
2747,alarma,alarm
2748,identidad,tożsamość
2749,iguales,równy
2750,aviso,ostrzeżenie
2751,aprendido,nauczyli
2752,caza,polowanie
2753,daba,dał
2754,muchacha,dziewczyna
2755,permanecer,zostawać
2756,bebés,pijesz
2757,opciones,opcje
2758,responde,Odpowiadać
2759,vernos,Zobacz nas
2760,julie,Julie
2761,llamaste,nazywa
2762,ponerse,zakładać
2763,sacó,płaszcz
2764,orgullo,duma
2765,reales,prawdziwy
2766,esperan,czekają
2767,vuelves,Wracasz
2768,maggie,Maggie
2769,serlo,być
2770,cuantas,ile
2771,enfadado,wkurzony
2772,ponen,Włożyli
2773,altura,wzrost
2774,jones,Jones
2775,archivo,"Plik, archiwum"
2776,fred,Fred
2777,ayudará,pomóc
2778,fácilmente,z łatwością
2779,criatura,kreatura
2780,saco,płaszcz
2781,precisamente,dokładnie
2782,máximo,maksymalny
2783,viniendo,nadchodzący
2784,vendría,To by przyszło
2785,louis,Louis
2786,ilegal,nielegalny
2787,refiere,odnosi się
2788,llamamos,Nazywamy
2789,versión,wersja
2790,incendio,ogień
2791,preferiría,wolałbym
2792,gritar,krzyczeć
2793,recibió,Otrzymał
2794,concierto,koncert
2795,casualidad,szansa
2796,excusa,wymówka
2797,rodillas,kolana
2798,cruz,krzyż
2799,dulces,Słodkie
2800,zorra,lis
2801,cómodo,wygodna
2802,cruel,okrutny
2803,sofá,sofa
2804,perdiste,przegrałeś
2805,encantadora,śliczny
2806,salgamos,wyjdźmy
2807,sombra,cień
2808,ganó,wygrał
2809,encantada,miło mi cię poznać
2810,firmar,podpisać
2811,escritorio,biurko
2812,muñeca,nadgarstek
2813,rastro,namierzać
2814,gigante,ogromny
2815,pájaro,ptak
2816,ducha,kabina prysznicowa
2817,tomamos,bierzemy
2818,déjenme,zostaw mnie
2819,condición,stan
2820,recompensa,nagroda
2821,actor,aktor
2822,actitud,nastawienie
2823,cuida,opiekować się
2824,salsa,sos
2825,hubieran,byłoby
2826,carlos,Charles
2827,personaje,postać
2828,dudas,Wątpienie
2829,jackie,Jackie
2830,cambios,zmiany
2831,votos,głosy
2832,vivido,żywy
2833,perdimos,Przegraliśmy
2834,suficientes,wystarczająco 
2835,entrega,dostawa
2836,comercial,Reklama w telewizji
2837,decidí,zdecydowałem
2838,tribu,plemię
2839,pura,Czysty
2840,volveremos,wrócimy
2841,voto,głosować
2842,méxico,Meksyk
2843,amar,kochać
2844,poderoso,potężny
2845,traigo,przynoszę
2846,asesinatos,Morderstwa
2847,fresco,Fajny
2848,privada,prywatny
2849,seamos,Bądźmy
2850,guarda,strażnik
2851,orgullosa,dumny
2852,vivimos,Żyjemy
2853,difíciles,trudny
2854,hagámoslo,Zróbmy to
2855,jefa,szef
2856,trató,sprawa
2857,senador,senator
2858,ayudando,Porcja jedzenia
2859,campeón,mistrz
2860,bebiendo,Picie
2861,adorable,uroczy
2862,ayudó,pomógł
2863,ciego,ślepy
2864,falsa,fałszywy
2865,jo,Jo
2866,sara,Sara
2867,bestia,bestia
2868,alteza,wysoki król
2869,deseos,życzenia
2870,episodio,epizod
2871,celda,komórka
2872,llevarlo,trzymaj to
2873,aguanta,utrzymać
2874,vengas,Przyjeżdżacie
2875,jueves,Czwartek
2876,montañas,góry
2877,pensamientos,myśli
2878,medianoche,środek nocy
2879,llevarme,Weź mnie
2880,garganta,gardło
2881,sesión,sesja
2882,pensaste,Myśl
2883,diles,Powiedz im
2884,muera,umierać
2885,coma,jeść
2886,sentimos,Czujemy się
2887,creas,Wierzysz
2888,escribe,pisać
2889,identificación,ID
2890,circunstancias,okoliczności
2891,preguntado,spytał
2892,veneno,zatruć
2893,primavera,wiosna
2894,súper,super
2895,vuestros,twój
2896,queríamos,Chcieliśmy
2897,aquello,że
2898,preocuparse,martwić się
2899,martes,Wtorek
2900,feo,brzydki
2901,cristo,Chrystus
2902,francisco,Francisco
2903,howard,Howard
2904,virgen,dziewica
2905,distrito,dzielnica
2906,decidió,On zdecydował
2907,reputación,reputacja
2908,socorro,Pomoc
2909,encontraré,znajdę
2910,castigo,kara
2911,dígale,Powiedz mu
2912,límite,limit
2913,junta,spotkanie
2914,ponerte,założyć
2915,casados,żonaty
2916,líneas,linie
2917,estudios,studia
2918,muévanse,ruszaj się
2919,audiencia,publiczność
2920,helen,Helen
2921,nació,urodził się
2922,mato,Mato
2923,jugador,gracz
2924,hmm,HMM
2925,humo,palić
2926,popular,popularny
2927,nación,naród
2928,conocimos,Spotkaliśmy się
2929,tropas,wojsko
2930,sucediendo,wydarzenie
2931,explicación,Wyjaśnienie
2932,salen,Odeszli
2933,discúlpeme,wybaczcie mi
2934,presentar,przedstawiać
2935,donna,Donna
2936,celebrar,świętować
2937,competencia,konkurencja
2938,envía,Wysłać
2939,mantén,Trzymać
2940,verlos,Zobacz ich
2941,biblioteca,biblioteka
2942,fila,wiersz
2943,ésto,ten
2944,misterio,tajemnica
2945,ganador,zwycięzca
2946,puerto,Port
2947,vehículo,pojazd
2948,escapó,uciekł
2949,traeré,Przyniosę
2950,julio,Lipiec
2951,lograr,osiągnąć
2952,desaparecer,znikać
2953,muero,umieram
2954,quítate,Usunąć
2955,favorita,Ulubiony
2956,patio,dziedziniec
2957,golpeó,uderzyć
2958,tontería,niedogodność
2959,miss,Tęsknić
2960,pecado,grzech
2961,comité,komisja
2962,preparada,przygotowany
2963,comprado,kupił
2964,parezca,Wydaje się
2965,emocionante,ekscytujący
2966,caras,twarze
2967,rescate,ratowanie
2968,título,tytuł
2969,llegaste,przybyłeś
2970,decírtelo,Powiedz ci
2971,adivina,zgadywać
2972,elizabeth,Elizabeth
2973,pánico,panika
2974,barry,Barry
2975,quieran,chcieć
2976,abby,Abby
2977,exterior,Zewnętrzny
2978,pasión,pasja
2979,llegan,Przybyli
2980,preparar,organizować coś
2981,guau,wow
2982,patrick,Patrick
2983,tierras,grunt
2984,demostrar,pokazać
2985,elegante,Elegancki
2986,asegurarme,Upewnić się
2987,visitar,wizyta
2988,asegúrate,Upewnić się
2989,darles,daj im
2990,cabezas,Głowy
2991,abra,otwarty
2992,andrew,Andrzej
2993,dean,dziekan
2994,ambiente,otoczenia
2995,conde,liczyć
2996,urgente,pilne
2997,impuestos,podatki
2998,antonio,Antonio
2999,distinto,odrębny
3000,encantan,Kochają
3001,ron,Ron
3002,marcas,marki
3003,ayudarlo,Pomóż mu
3004,leyendo,Czytanie
3005,adecuado,właściwy
3006,cajas,pudła
3007,abandonar,Wyjechać
3008,dispara,strzelać
3009,buscamos,Szukamy
3010,funcionando,pracujący
3011,traté,próbowałem
3012,cia,Inc
3013,tomen,Brać
3014,darnos,daj nam
3015,intentas,Próbujesz
3016,lily,Lilia
3017,gustado,lubił
3018,jamie,Jamie
3019,luchando,zmagający się
3020,apesta,śmierdzi
3021,volando,latający
3022,periódicos,Gazety
3023,lucas,Łukasz
3024,detenido,zatrzymany
3025,curioso,ciekawski
3026,tetas,cycki
3027,caro,kosztowny
3028,asco,niesmak
3029,usó,posługiwać się
3030,buscas,Szukasz
3031,amanda,Amanda
3032,salgo,idę na zewnątrz
3033,decirnos,Powiedz nam
3034,enseñó,Uczę
3035,rick,Stóg
3036,mírate,Spójrz na siebie
3037,stan,Stan
3038,debiste,Jesteś winien
3039,océano,ocean
3040,bolas,kulki
3041,nuevamente,ponownie
3042,damos,dajemy
3043,pagado,wypłacone
3044,federal,federalny
3045,cuán,Jak
3046,escalera,drabina
3047,acepto,zgadzam się
3048,km,km
3049,terapia,terapia
3050,lágrimas,łzy
3051,terreno,grunt
3052,autoridad,autorytet
3053,encuentran,odnaleźć
3054,roca,złóg
3055,superficie,powierzchnia
3056,cubierta,talia kart
3057,terry,Terry
3058,hierba,ziele
3059,juan,Jan
3060,prometido,narzeczony
3061,crecer,Dorastanie
3062,mental,psychiczny
3063,extranjero,Zagraniczny
3064,madame,Pani
3065,prometí,Obiecałem
3066,mismas,to samo
3067,existen,istnieć
3068,veas,idź do s
3069,lento,wolny
3070,dirige,reżyseruje
3071,capaces,zdolny
3072,chino,chiński
3073,vuelvan,Zwrócić
3074,meta,bramka
3075,suelta,luźny
3076,despedida,pożegnanie
3077,sucedido,stało się
3078,pasta,makaron
3079,cristal,kryształ
3080,vegas,Vegas
3081,gritando,Krzyczenie
3082,pare,Zatrzymaj się
3083,peces,ryby
3084,brown,brązowy
3085,guardar,ratować
3086,podían,Mogliby
3087,sabían,Oni wiedzieli
3088,literalmente,dosłownie
3089,salvó,oprócz
3090,aprecio,uznanie
3091,fotografía,Fotografia
3092,patrón,Wzorzec
3093,esposas,żony
3094,king,Król
3095,desafío,wyzwanie
3096,asombroso,zdumiewający
3097,pedazos,sztuki
3098,robin,Rudzik
3099,sales,ty wyjdź
3100,clínica,klinika
3101,atrapar,złapać
3102,experto,ekspert
3103,medida,mierzyć
3104,tele,telewizja
3105,desagradable,nieprzyjemny
3106,custodia,opieka
3107,nacido,urodzić się
3108,anuncio,ogłoszenie
3109,física,fizyczny
3110,hollywood,Hollywood
3111,empezado,zaczęła się
3112,ma,mama
3113,fiebre,gorączka
3114,johnson,Johnson
3115,compañera,partner
3116,ayudarla,Pomóż jej
3117,desgraciado,niefortunny
3118,organización,organizacja
3119,echa,Echa
3120,mina,moje
3121,honestamente,szczerze
3122,deuda,dług
3123,digan,mówić
3124,transporte,transport
3125,cocinar,gotować
3126,delicioso,pyszne
3127,podíamos,moglibyśmy
3128,greg,Greg
3129,dirás,Powiesz
3130,habilidades,umiejętności
3131,sentimiento,uczucie
3132,pudieras,Mógłbyś
3133,golpes,trafienia
3134,nadar,pływać
3135,operaciones,Operacje
3136,admitir,przyznawać 
3137,templo,świątynia
3138,adios,do widzenia
3139,maravilla,Wspaniale
3140,quita,usunąć
3141,mate,kumpel
3142,piano,fortepian
3143,bombas,Lakierki
3144,paredes,ściany
3145,pantalla,ekran
3146,italia,Włochy
3147,pusieron,Włożyli
3148,sally,Wypad
3149,amén,Amen
3150,mac,Prochowiec
3151,civil,cywilny
3152,fantasmas,Duchy
3153,gasolina,benzyna
3154,sabia,wiedziałem
3155,tyler,Tyler
3156,judíos,Żydzi
3157,s.,s.
3158,tripulación,załoga
3159,pagan,płacić
3160,arrestado,aresztowany
3161,extraños,nieznajomi
3162,canta,śpiewa
3163,texas,Teksas
3164,estando,istnienie
3165,flor,kwiat
3166,ricky,Ricky
3167,usan,posługiwać się
3168,cruzar,Krzyż
3169,esperemos,Miejmy nadzieję
3170,guía,przewodnik
3171,preocuparte,martwić się
3172,enseñar,uczyć
3173,irán,Iran
3174,conferencia,konferencja
3175,miro,patrzę
3176,habitaciones,sypialnie
3177,galletas,Biszkopty
3178,hablarle,Porozmawiaj z nim
3179,delito,przestępczość
3180,atacar,atak
3181,objeto,obiekt
3182,disparos,strzały
3183,museo,muzeum
3184,ruedas,koło
3185,recientemente,Niedawno
3186,huevo,jajko
3187,violación,naruszenie
3188,regresó,Zwrócić
3189,sufrir,cierpieć
3190,tina,wanna
3191,terminamos,skończone
3192,disponible,do dyspozycji
3193,rica,pyszne
3194,habilidad,umiejętność
3195,práctica,ćwiczyć
3196,acabe,Skończyć
3197,amado,kochany
3198,haberle,mieć
3199,volvemos,Wracamy
3200,tendrías,Miałbyś
3201,maestra,nauczyciel
3202,city,Miasto
3203,pastillas,tabletki
3204,aprendí,Dowiedziałem się
3205,cable,kabel
3206,nacimiento,narodziny
3207,consciente,świadomy
3208,alcance,zakres
3209,evento,wydarzenie
3210,alquiler,wynajem
3211,ordenador,komputer
3212,incidente,incydent
3213,huh,Huh
3214,escribí,napisałem
3215,estuvieron,Byli
3216,intentaré,Postaram się
3217,pensamiento,myśl
3218,metió,położyć
3219,maleta,torba
3220,condado,Hrabstwo
3221,piezas,sztuki
3222,ladrones,włamywacze
3223,metro,metr
3224,kilos,Kilos
3225,recuerde,Pamiętać
3226,español,hiszpański
3227,motivos,powody
3228,explica,Wyjaśnić
3229,renunciar,poddać się
3230,actuación,wydajność
3231,refugio,schron
3232,harto,Rozdrażniony
3233,reacción,reakcja
3234,paliza,bicie
3235,chef,Szef kuchni
3236,ocurra,zdarzać się
3237,marty,Marty
3238,l,L
3239,entrado,Wchodzić
3240,quitar,budzić wstręt
3241,amanecer,wschód słońca
3242,molly,Pedał
3243,corazones,kiery
3244,rumores,Plotki
3245,llames,Ty dzwonisz
3246,celoso,zazdrosny
3247,utilizar,posługiwać się
3248,territorio,terytorium
3249,olvide,zapomniałem
3250,prácticamente,praktycznie
3251,disfrutar,cieszyć się
3252,intentaba,próbowałem
3253,vecino,sąsiad
3254,pública,publiczny
3255,collar,naszyjnik
3256,golf,Golf
3257,betty,Betty
3258,marco,struktura
3259,cercano,Blisko
3260,fondos,pieniądze
3261,ross,Ross
3262,bruce,Bruce
3263,montar,uchwyt
3264,salvado,uratowany
3265,grados,stopni
3266,dylan,Dylan
3267,moto,motocykl
3268,instrucciones,instrukcje
3269,treinta,trzydzieści
3270,gordon,Gordon
3271,adonde,gdzie
3272,hablarte,Rozmawiać z tobą
3273,jesse,Jesse
3274,emperador,cesarz
3275,cigarrillo,papieros
3276,cuéntame,Powiedz mi
3277,do,robić
3278,secreta,Sekret
3279,haberse,mieć
3280,hitler,Hitler
3281,anne,Anne
3282,mortal,śmiertelny
3283,ronda,okrągły
3284,cuídate,Dbaj o siebie
3285,metal,metal
3286,puro,czysty
3287,cierre,zamknięcie
3288,colores,zabarwienie
3289,eva,Przeddzień
3290,rusia,Rosja
3291,botón,przycisk
3292,hijas,córki
3293,tenerlo,posiadać to
3294,tono,ton
3295,espía,szpieg
3296,empleados,pracownicy
3297,conduce,ona prowadzi
3298,detalle,Szczegół
3299,estuvieras,Ty byłeś
3300,oliver,Oliver
3301,rusos,Rosjanie
3302,déjala,zostaw ją
3303,crema,krem
3304,roy,Roy
3305,contesta,Odpowiedzi
3306,casarte,wyjść za mąż
3307,manda,Wysłać
3308,dias,dni
3309,prisioneros,Więźniowie
3310,echado,kłamliwy
3311,trajiste,Przyniosłeś
3312,charlotte,Charlotte
3313,flota,flota
3314,marie,Marie
3315,criminales,przestępcy
3316,mmm,Hmm
3317,platos,talerze
3318,crímenes,przestępstwa
3319,cometido,zadanie
3320,golpear,bić
3321,igualmente,ty też
3322,dispararon,Strzelili
3323,dejará,zostawi
3324,tontos,Głupcy
3325,sabría,wiedziałby
3326,abran,otwarty
3327,ayudante,asystent
3328,cultura,kultura
3329,revolución,rewolucja
3330,hombro,ramię
3331,botas,buty
3332,adoro,lubię
3333,olvidó,zapominam
3334,biblia,Biblia
3335,saludos,Twoje zdrowie
3336,katie,Katie
3337,deme,daj mi
3338,adultos,Dorośli ludzie
3339,sitios,strony
3340,serpiente,wąż
3341,parker,Parker
3342,nathan,Nathan
3343,romántico,Romantyczny
3344,posiblemente,prawdopodobnie
3345,adivinar,zgadywać
3346,peores,Najgorszy
3347,buscan,szukam
3348,enfrente,z przodu
3349,restos,pozostaje
3350,capacidad,umiejętność
3351,aliento,oddech
3352,placa,tablica rejestracyjna
3353,rata,szczur
3354,áfrica,Afryka
3355,entendí,zrozumiany
3356,metas,cele
3357,cuadro,rama
3358,afortunado,Szczęściarz
3359,puestos,Posty
3360,japón,Japonia
3361,división,podział
3362,subtítulos,Podtytuł
3363,entradas,bilety
3364,bicicleta,rower
3365,vuestras,twój
3366,pesado,ciężki
3367,sugiero,sugeruję
3368,calla,Zamknij się
3369,espacial,przestrzeń
3370,st,St
3371,ventanas,okna
3372,mejorar,ulepszyć
3373,concurso,Konkurs
3374,comisaría,Posterunek policji
3375,sincero,szczery
3376,centavos,centy
3377,naturalmente,naturalnie
3378,deseas,chcesz
3379,pasara,to się stanie
3380,jay,Sójka
3381,esperado,spodziewany
3382,ocurrir,zdarzać się
3383,pondrá,położy
3384,recursos,oznacza
3385,raza,Wyścig
3386,muestras,próbki
3387,personales,osobisty
3388,wilson,Wilson
3389,imaginación,wyobraźnia
3390,volverás,wrócisz
3391,ceremonia,ceremonia
3392,almacén,magazyn
3393,sabor,smak
3394,sentarse,czuć
3395,on,NA 
3396,unión,Unia
3397,frankie,Frankie
3398,reserva,rezerwować
3399,españa,Hiszpania
3400,encanto,czar
3401,aviones,samoloty
3402,calidad,jakość
3403,escondido,ukryty
3404,citas,cytaty
3405,aceite,olej
3406,pusiste,Położyłeś
3407,querrá,będzie chciał
3408,punta,Wskazówka
3409,cinturón,pas
3410,podrán,będzie w stanie
3411,cuales,który
3412,chiste,żart
3413,consecuencias,uderzenie
3414,sinceramente,szczerze mówiąc
3415,lewis,Chwytak
3416,hablaste,Przemówiłeś
3417,vaca,krowa
3418,investigando,przeprowadzanie badań
3419,vuelven,Wracają
3420,chloe,Chloe
3421,prisionero,więzień
3422,investigar,Badania
3423,apellido,nazwisko
3424,actual,obecny
3425,despertar,Obudź się
3426,instante,natychmiastowy
3427,vincent,Vincent
3428,ud,Ty
3429,morirá,umrze
3430,sacaste,Wyjąłeś
3431,justin,Justin
3432,traiga,Przynieść
3433,sentada,posiedzenie
3434,mueva,ruszaj się
3435,jordan,Jordania
3436,terminé,skończyłem
3437,emociones,emocje
3438,dormitorio,sypialnia
3439,pulso,puls
3440,atreves,Odważyć się
3441,frase,wyrażenie
3442,partida,wyjazd
3443,sabíamos,Wiedzieliśmy
3444,parezco,wyglądam jak
3445,excelencia,doskonałość
3446,despedido,zwolniony z pracy
3447,moral,morał
3448,asalto,napaść
3449,decente,przyzwoity
3450,informes,Raporty
3451,asusta,przeraża
3452,trabajan,oni pracują
3453,my,Mój
3454,doug,Doug
3455,poca,mały
3456,pasaría,To by się stało
3457,médica,Medyczny
3458,combustible,gaz
3459,discusión,dyskusja
3460,verán,Zobaczysz
3461,ciertas,PRAWDA
3462,pata,łapa
3463,jean,Drelich
3464,antiguos,starożytny
3465,requiere,wymaga
3466,cogido,złapany
3467,comunicación,Komunikacja
3468,manzana,jabłko
3469,sed,pragnienie
3470,tio,wujek
3471,joyas,klejnoty
3472,cojones,kulki
3473,noble,szlachetny
3474,ee.uu.,USA.
3475,trabajamos,pracujemy
3476,pediste,Zapytałeś
3477,encontrarla,Znajdź to
3478,piedras,Kamienie
3479,traidor,zdrajca
3480,gané,wygrałem
3481,letra,tekst piosenki
3482,conseguimos,Dostajemy
3483,vía,przez
3484,sacerdote,kapłan
3485,efectos,efekty
3486,resistencia,wytrzymałość
3487,arroz,Ryż
3488,arreglado,naprawione
3489,tarjetas,karty
3490,descubrió,odkryty
3491,desconocido,nieznany
3492,mínimo,minimum
3493,disparado,strzał
3494,boston,Boston
3495,entienden,oni rozumieją
3496,bandera,flaga
3497,llamarte,zadzwonię do ciebie
3498,plaza,kwadrat
3499,entrando,wstępowanie
3500,tomará,to zajmie
3501,visitas,Odwiedziny
3502,cooper,Bednarz
3503,demasiada,zbyt wiele
3504,faltan,zaginiony
3505,planeado,zaplanowany
3506,imperio,imperium
3507,esperaré,poczekam
3508,enfadada,zły
3509,levantar,Wstań
3510,cartera,portmonetka
3511,jeremy,Jeremy
3512,importar,importować
3513,depósito,Kaucja
3514,colegas,koledzy
3515,periodista,dziennikarz
3516,comprobar,sprawdzać
3517,funcione,funkcjonować
3518,nina,mała dziewczynka
3519,mereces,Zasługujesz
3520,forense,kryminalistycznych
3521,tensión,napięcie
3522,involucrado,zaangażowany
3523,vacía,pusty
3524,abandonado,opuszczony
3525,vídeo,wideo
3526,ruso,Rosyjski
3527,círculo,okrąg
3528,judío,żydowski
3529,cole,szkoła
3530,gritos,Krzyki
3531,carol,kolęda
3532,empecemos,Zacznijmy
3533,resultó,okazało się
3534,campos,Pola
3535,váyanse,Iść
3536,escribiendo,pismo
3537,divertida,zabawa
3538,pasen,podawać
3539,pinta,Pinta
3540,supo,wiedział
3541,ascensor,winda
3542,quedarnos,zostawać
3543,matará,zabije
3544,aparecer,Pojawić się
3545,helicóptero,śmigłowiec
3546,actuando,gra aktorska
3547,ooh,ooh
3548,pasas,rodzynki
3549,apúrate,Pośpiesz się
3550,big,Duża
3551,entregar,dostarczyć
3552,escape,wydechowy
3553,indios,Hindusi
3554,limpieza,czyszczenie
3555,rebecca,Rebecca
3556,querrás,będziesz chciał
3557,hueso,kość
3558,jessica,Jessica
3559,magnífico,wspaniały
3560,trabajadores,pracownicy
3561,caída,upuszczać
3562,temperatura,temperatura
3563,habia,byli
3564,dejaría,Odszedłbym
3565,encontrará,znajdzie
3566,ejercicio,ćwiczenie
3567,lealtad,lojalność
3568,alas,w
3569,pasaron,Oni zdali
3570,invitación,zaproszenie
3571,diamantes,Diamenty
3572,unidades,jednostki
3573,miller,Młynarz
3574,enojada,zirytowany
3575,decimos,Mówimy
3576,leyenda,legenda
